  firstName  |   lastName   | totalAmount 
-------------+--------------+-------------
 Mary        | Smith        |        1024
 Patricia    | Johnson      |         729
 Linda       | Williams     |         676
 Barbara     | Jones        |         484
 Elizabeth   | Brown        |        1444
 Jennifer    | Davis        |         784
 Maria       | Miller       |        1089
 Susan       | Wilson       |         576
 Margaret    | Moore        |         529
 Dorothy     | Taylor       |         625
 Lisa        | Anderson     |         576
 Nancy       | Thomas       |         784
 Karen       | Jackson      |         729
 Betty       | White        |         784
 Helen       | Harris       |        1024
 Sandra      | Martin       |         812
 Donna       | Thompson     |         441
 Carol       | Garcia       |         484
 Ruth        | Martinez     |         576
 Sharon      | Robinson     |         900
 Michelle    | Clark        |        1225
 Laura       | Rodriguez    |         484
 Sarah       | Lewis        |         900
 Kimberly    | Lee          |         625
 Deborah     | Walker       |         841
 Jessica     | Hall         |        1156
 Shirley     | Allen        |         961
 Cynthia     | Young        |        1024
 Angela      | Hernandez    |        1296
 Melissa     | King         |        1156
 Brenda      | Wright       |         676
 Amy         | Lopez        |         841
 Anna        | Hill         |         441
 Rebecca     | Scott        |         576
 Virginia    | Green        |        1024
 Kathleen    | Adams        |         729
 Pamela      | Baker        |         529
 Martha      | Gonzalez     |        1156
 Debra       | Nelson       |         841
 Amanda      | Carter       |         729
 Stephanie   | Mitchell     |         625
 Carolyn     | Perez        |         900
 Christine   | Roberts      |         576
 Marie       | Turner       |         676
 Janet       | Phillips     |         729
 Catherine   | Campbell     |        1156
 Frances     | Parker       |         484
 Ann         | Evans        |         289
 Joyce       | Edwards      |         784
 Diane       | Collins      |        1225
 Alice       | Stewart      |        1089
 Julie       | Sanchez      |         841
 Heather     | Morris       |         900
 Teresa      | Rogers       |         841
 Doris       | Reed         |         484
 Gloria      | Cook         |         900
 Evelyn      | Morgan       |         784
 Jean        | Bell         |         729
 Cheryl      | Murphy       |         729
 Mildred     | Bailey       |         625
 Katherine   | Rivera       |         196
 Joan        | Cooper       |         529
 Ashley      | Richardson   |         625
 Judith      | Cox          |        1089
 Rose        | Howard       |         484
 Janice      | Ward         |        1156
